,,0
params,Human Stereotype Score,2.6002338921413855e-05
params,const,-0.01123654638952144
params,counts,-2.9382419310642596e-06
params,_f_test,4.683761804732336
pvals,Human Stereotype Score,0.0073556106373662035
pvals,const,1.0744929713820854e-05
pvals,counts,0.12906421081138275
pvals,_f_test,0.010628441640333317
std,Human Stereotype Score,9.569947986562208e-06
std,const,0.0024670815022537797
std,counts,1.9252633628264453e-06
statistics,adj_r2,0.04594149391123881
statistics,r2,0.05841284693200699
